sequence	region
PQ702537|2024-12|USA|Alaska|2.3.4.4b	Alaska
PQ702593|2024-12|USA|Alaska|2.3.4.4b	Alaska
PQ710473|2024-12|USA|Alaska|2.3.4.4b	Alaska
PV267624|2025-03|USA|Arkansas|2.3.4.4b	Arkansas
PQ715081|2024-12|USA|Arkansas|2.3.4.4b	Arkansas
PQ717377|2024-12|USA|Arkansas|2.3.4.4b	Arkansas
PQ712265|2024-12|USA|Arkansas|2.3.4.4b	Arkansas
PV684889|2025-05|Bangladesh|nan|2.3.4.4b	Bangladesh
PV387742|2025-03|Bangladesh|nan|2.3.4.4b	Bangladesh
PV388218|2025-03|Bangladesh|nan|2.3.4.4b	Bangladesh
OP030702|2022-07|Bangladesh|nan|2.3.4.4b	Bangladesh
OR839997|2024-06|Brazil|nan|2.3.4.4b	Brazil
PP779933|2024-06|Brazil|nan|2.3.4.4b	Brazil
PP782205|2024-06|Brazil|nan|2.3.4.4b	Brazil
PP782339|2024-06|Brazil|nan|2.3.4.4b	Brazil
PQ687063|2024-12|USA|California|2.3.4.4b	California
PQ705657|2024-12|USA|California|2.3.4.4b	California
PQ715657|2024-12|USA|California|2.3.4.4b	California
PQ701937|2024-12|USA|California|2.3.4.4b	California
PQ379743|2024-09|USA|Colorado|2.3.4.4b	Colorado
PQ706889|2024-12|USA|Colorado|2.3.4.4b	Colorado
PQ710929|2024-12|USA|Colorado|2.3.4.4b	Colorado
PQ707577|2024-12|USA|Colorado|2.3.4.4b	Colorado
OQ957612|2023-08|USA|Connecticut|2.3.4.4b	Connecticut
OQ962172|2023-08|USA|Connecticut|2.3.4.4b	Connecticut
OQ960844|2023-08|USA|Connecticut|2.3.4.4b	Connecticut
PQ711081|2024-12|USA|Florida|2.3.4.4b	Florida
PQ704457|2024-12|USA|Florida|2.3.4.4b	Florida
PQ713145|2024-12|USA|Florida|2.3.4.4b	Florida
OQ960316|2023-08|USA|Florida|2.3.4.4b	Florida
PQ704753|2024-12|USA|Georgia|2.3.4.4b	Georgia
OQ584552|2023-03|USA|Georgia|2.3.4.4b	Georgia
PQ704817|2024-12|USA|Georgia|2.3.4.4b	Georgia
OQ962028|2023-08|USA|Georgia|2.3.4.4b	Georgia
PV187907|2025-02|Germany|nan|2.3.4.4b	Germany
PV187867|2025-02|Germany|nan|2.3.4.4b	Germany
