	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Georgia	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Massachusetts	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Morocco	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Ohio	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Russia	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Senegal	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Spain	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Switzerland	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
Tunisia	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
California	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
United_Kingdom	-0.04283653	0.16918933	0.09158439	-0.92086372	0.21102038	0.89917409	-2.00915537	0.59004161	0.26000453	-1.68481266	1.23293821	1.20371573
