	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Georgia	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Massachusetts	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Morocco	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Ohio	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Russia	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Senegal	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Spain	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Switzerland	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
Tunisia	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
California	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
United_Kingdom	-0.36599099	0.75316359	-0.48576334	0.87691215	-0.51053237	-2.16895201	1.62661419	0.32120128	-0.98405518	0.83918648	0.72081949	-0.62260328
