	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099	-0.36599099
Georgia	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359	0.75316359
Massachusetts	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334	-0.48576334
Morocco	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215	0.87691215
Ohio	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237	-0.51053237
Russia	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201	-2.16895201
Senegal	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419	1.62661419
Spain	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128	0.32120128
Switzerland	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518	-0.98405518
Tunisia	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648	0.83918648
California	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949	0.72081949
United_Kingdom	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328	-0.62260328
