	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Georgia	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Massachusetts	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Morocco	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Ohio	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Russia	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Senegal	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Spain	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Switzerland	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
Tunisia	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
California	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
United_Kingdom	-1.17740297	-0.19329119	-1.24799532	0.45680029	-0.36536328	2.68065840	-0.04350383	0.53306747	-0.99628079	-0.15598684	0.42513233	0.08416574
