	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297	-1.17740297
Georgia	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119	-0.19329119
Massachusetts	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532	-1.24799532
Morocco	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029	0.45680029
Ohio	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328	-0.36536328
Russia	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840	2.68065840
Senegal	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383	-0.04350383
Spain	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747	0.53306747
Switzerland	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079	-0.99628079
Tunisia	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684	-0.15598684
California	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233	0.42513233
United_Kingdom	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574	0.08416574
