	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Georgia	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Massachusetts	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Morocco	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Ohio	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Russia	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Senegal	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Spain	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Switzerland	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
Tunisia	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
California	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
United_Kingdom	-0.09392262	0.39225806	-1.66482373	-0.07118635	-0.83879900	1.20568943	-0.37887258	1.88940518	-0.68671244	-0.58825491	-0.58825491	1.42347386
