	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262	-0.09392262
Georgia	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806	0.39225806
Massachusetts	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373	-1.66482373
Morocco	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635	-0.07118635
Ohio	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900	-0.83879900
Russia	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943	1.20568943
Senegal	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258	-0.37887258
Spain	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518	1.88940518
Switzerland	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244	-0.68671244
Tunisia	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491
California	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491	-0.58825491
United_Kingdom	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386	1.42347386
