	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	0.00000000	0.67055834	0.52614119	0.25000670	0.61028219	0.51953972	0.41115965	0.13266438	0.04759839	0.17414947	0.84328315	0.06604950
Georgia	0.67055834	0.00000000	0.14445781	0.64935095	0.08131978	0.85860109	0.67433788	0.65203789	0.70942139	0.77920420	0.32665734	0.60983438
Massachusetts	0.52614119	0.14445781	0.00000000	0.52449668	0.09647912	0.76294657	0.57755688	0.51358461	0.56539120	0.64027422	0.40812207	0.46544219
Morocco	0.25000670	0.64935095	0.52449668	0.00000000	0.62097490	0.76949606	0.16135943	0.11734520	0.23368769	0.17962167	0.92243477	0.27068630
Ohio	0.61028219	0.08131978	0.09647912	0.62097490	0.00000000	0.77809315	0.66943602	0.60736895	0.65180969	0.73340558	0.31603527	0.54717572
Russia	0.51953972	0.85860109	0.76294657	0.76949606	0.77809315	0.00000000	0.93034363	0.65218523	0.53994028	0.64532273	0.75257264	0.51077138
Senegal	0.41115965	0.67433788	0.57755688	0.16135943	0.66943602	0.93034363	0.00000000	0.27858641	0.39186026	0.31006877	0.98520732	0.43022779
Spain	0.13266438	0.65203789	0.51358461	0.11734520	0.60736895	0.65218523	0.27858641	0.00000000	0.12064221	0.12717270	0.88358559	0.15920001
Switzerland	0.04759839	0.70942139	0.56539120	0.23368769	0.65180969	0.53994028	0.39186026	0.12064221	0.00000000	0.12977828	0.89043621	0.11289502
Tunisia	0.17414947	0.77920420	0.64027422	0.17962167	0.73340558	0.64532273	0.31006877	0.12717270	0.12977828	0.00000000	1.00000000	0.23291601
California	0.84328315	0.32665734	0.40812207	0.92243477	0.31603527	0.75257264	0.98520732	0.88358559	0.89043621	1.00000000	0.00000000	0.77754119
United_Kingdom	0.06604950	0.60983438	0.46544219	0.27068630	0.54717572	0.51077138	0.43022779	0.15920001	0.11289502	0.23291601	0.77754119	0.00000000
