	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	1	0	0	1	0	0	1	1	0	0	0	1
Georgia	0	0	0	0	0	0	0	0	0	0	0	0
Massachusetts	0	0	0	0	0	0	0	0	0	0	0	0
Morocco	1	0	0	1	0	0	1	1	0	0	0	1
Ohio	0	0	0	0	0	0	0	0	0	0	0	0
Russia	0	0	0	0	0	0	0	0	0	0	0	0
Senegal	1	0	0	1	0	0	1	1	0	0	0	1
Spain	1	0	0	1	0	0	1	1	0	0	0	1
Switzerland	0	0	0	0	0	0	0	0	0	0	0	0
Tunisia	0	0	0	0	0	0	0	0	0	0	0	0
California	0	0	0	0	0	0	0	0	0	0	0	0
United_Kingdom	1	0	0	1	0	0	1	1	0	0	0	1
