	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Georgia	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Massachusetts	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Morocco	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Ohio	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Russia	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Senegal	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Spain	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Switzerland	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
Tunisia	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
California	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
United_Kingdom	-0.15920350	0.85863799	0.98251344	-1.35534644	0.57901300	0.98296963	0.35785146	0.17369846	0.49977165	-1.92405936	0.62629949	-1.62214583
