	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350	-0.15920350
Georgia	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799	0.85863799
Massachusetts	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344	0.98251344
Morocco	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644	-1.35534644
Ohio	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300	0.57901300
Russia	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963	0.98296963
Senegal	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146	0.35785146
Spain	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846	0.17369846
Switzerland	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165	0.49977165
Tunisia	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936	-1.92405936
California	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949	0.62629949
United_Kingdom	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583	-1.62214583
