	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Georgia	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Massachusetts	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Morocco	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Ohio	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Russia	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Senegal	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Spain	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Switzerland	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
Tunisia	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
California	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
United_Kingdom	-0.69795763	-0.77288371	-1.27391434	0.60126871	-0.70728631	2.04450998	-0.19350669	0.82989168	-1.02495362	-0.69610125	0.62783230	1.26310087
