	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763	-0.69795763
Georgia	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371	-0.77288371
Massachusetts	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434	-1.27391434
Morocco	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871	0.60126871
Ohio	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631	-0.70728631
Russia	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998	2.04450998
Senegal	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669	-0.19350669
Spain	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168	0.82989168
Switzerland	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362	-1.02495362
Tunisia	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125	-0.69610125
California	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230	0.62783230
United_Kingdom	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087	1.26310087
