	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Georgia	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Massachusetts	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Morocco	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Ohio	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Russia	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Senegal	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Spain	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Switzerland	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
Tunisia	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
California	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
United_Kingdom	-0.58803513	-0.87412606	-1.09933239	-0.83113241	0.85013215	0.82605567	0.43300570	0.12958239	2.37688639	-0.66904863	-1.02891178	0.47492411
