	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513	-0.58803513
Georgia	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606	-0.87412606
Massachusetts	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239	-1.09933239
Morocco	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241	-0.83113241
Ohio	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215	0.85013215
Russia	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567	0.82605567
Senegal	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570	0.43300570
Spain	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239	0.12958239
Switzerland	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639	2.37688639
Tunisia	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863	-0.66904863
California	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178	-1.02891178
United_Kingdom	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411	0.47492411
