	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Georgia	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Massachusetts	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Morocco	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Ohio	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Russia	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Senegal	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Spain	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Switzerland	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
Tunisia	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
California	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
United_Kingdom	-0.82551104	-1.17333925	-2.30781532	0.30214758	0.02420774	0.65179784	1.27938794	0.35556082	1.05179668	0.47892309	0.78388752	-0.62104360
