	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104	-0.82551104
Georgia	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925	-1.17333925
Massachusetts	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532	-2.30781532
Morocco	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758	0.30214758
Ohio	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774	0.02420774
Russia	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784	0.65179784
Senegal	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794	1.27938794
Spain	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082	0.35556082
Switzerland	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668	1.05179668
Tunisia	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309	0.47892309
California	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752	0.78388752
United_Kingdom	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360	-0.62104360
