	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Georgia	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Massachusetts	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Morocco	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Ohio	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Russia	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Senegal	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Spain	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Switzerland	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
Tunisia	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
California	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
United_Kingdom	-0.28119157	-0.28119157	0.84357471	-1.13204442	0.56966128	-1.13204442	1.42051412	0.84357471	-0.28119157	-1.13204442	-1.13204442	1.69442756
