	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157
Georgia	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157
Massachusetts	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471
Morocco	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442
Ohio	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128	0.56966128
Russia	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442
Senegal	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412	1.42051412
Spain	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471	0.84357471
Switzerland	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157	-0.28119157
Tunisia	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442
California	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442	-1.13204442
United_Kingdom	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756	1.69442756
