	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Georgia	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Massachusetts	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Morocco	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Ohio	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Russia	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Senegal	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Spain	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Switzerland	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
Tunisia	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
California	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
United_Kingdom	-0.36516270	-0.07626253	1.29130721	-0.21468687	1.20894016	1.55213746	-2.26508200	-0.41837863	0.05189840	-0.16730361	0.31848366	-0.91589056
