	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270	-0.36516270
Georgia	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253	-0.07626253
Massachusetts	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721	1.29130721
Morocco	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687	-0.21468687
Ohio	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016	1.20894016
Russia	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746	1.55213746
Senegal	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200	-2.26508200
Spain	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863	-0.41837863
Switzerland	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840	0.05189840
Tunisia	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361	-0.16730361
California	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366	0.31848366
United_Kingdom	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056	-0.91589056
