	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Arkansas	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Bangladesh	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Brazil	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
California	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Colorado	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Connecticut	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Florida	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Georgia	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Germany	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
