	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322	-1.48582322
Arkansas	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265	-0.69499265
Bangladesh	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721	-0.01134721
Brazil	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572	1.23866572
California	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504	1.74802504
Colorado	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472	0.15820472
Connecticut	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434	-0.17054434
Florida	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302	1.05273302
Georgia	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377	0.51891377
Germany	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095	1.90191095
