	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Arkansas	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Bangladesh	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Brazil	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
California	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Colorado	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Connecticut	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Florida	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Georgia	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Germany	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Hawaii	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
India	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Iowa	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Louisiana	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Maryland	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Massachusetts	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Mexico	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Mississippi	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Missouri	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Montana	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
New_Mexico	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Nigeria	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
North_Carolina	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Ohio	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Oklahoma	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Peru	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Philippines	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
South_Carolina	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Tennessee	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Texas	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Utah	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
West_Virginia	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
Yemen	1.40715567	-0.35302417	-0.30490592	2.52376230	0.43121975	0.11605297	-1.93015283	-0.20496479	-0.27556937	0.31244666	-2.15277610	1.85982625	-0.31358105	-0.36503296	-1.36824904	-1.48097859	1.50358752	-0.41821746	-0.16042703	0.35696324	0.22383217	0.97444042	-0.34468282	-0.47222859	-0.16172695	1.20477341	0.28430503	-0.70687735	-0.51464151	0.77720854	-0.02747328	-0.90132308	0.48125894
