	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567	1.40715567
Arkansas	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417	-0.35302417
Bangladesh	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592	-0.30490592
Brazil	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230	2.52376230
California	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975	0.43121975
Colorado	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297	0.11605297
Connecticut	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283	-1.93015283
Florida	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479	-0.20496479
Georgia	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937	-0.27556937
Germany	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666	0.31244666
