	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Arkansas	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Bangladesh	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Brazil	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
California	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Colorado	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Connecticut	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Florida	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Georgia	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
Germany	-1.65918886	0.01420601	1.44778027	1.43207183	-0.16189313	-0.68177592	-1.11425384	-0.11475778	0.36214396	0.87473565	-1.16194149	2.81156203	-0.45406417	-0.53448517	-0.31862262	-0.73726746	1.30289470	-0.27406726	-0.28843717	-1.42798200	-1.21525175	1.50135302	0.15732133	-0.29579691	-0.39494363	0.80477858	1.39362244	-0.35096596	-0.08585771	0.41294237	-1.21525175	-0.64823361	0.61962598
