	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886	-1.65918886
Arkansas	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601	0.01420601
Bangladesh	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027	1.44778027
Brazil	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183	1.43207183
California	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313	-0.16189313
Colorado	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592	-0.68177592
Connecticut	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384	-1.11425384
Florida	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778	-0.11475778
Georgia	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396	0.36214396
Germany	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565	0.87473565
