	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Arkansas	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Bangladesh	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Brazil	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
California	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Colorado	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Connecticut	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Florida	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Georgia	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
Germany	-0.14191453	0.60569773	-0.95870599	1.36123234	0.23008958	-0.18525186	1.17497963	0.02220388	0.66210531	-1.09732444	0.30329146	-0.90010658	-2.08450362	0.17724973	0.07386167	0.89244228	0.28761571	0.97075440	0.38672284	-0.31857616	-1.22449867	-0.17433803	0.61753583	0.14216396	-0.57915833	1.23938116	0.66877187	0.44137763	0.98527713	-1.42079280	-1.02865572	1.69867440	-2.82760184
