	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453	-0.14191453
Arkansas	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773	0.60569773
Bangladesh	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599	-0.95870599
Brazil	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234	1.36123234
California	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958	0.23008958
Colorado	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186	-0.18525186
Connecticut	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963	1.17497963
Florida	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388	0.02220388
Georgia	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531	0.66210531
Germany	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444	-1.09732444
Hawaii	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146	0.30329146
India	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658	-0.90010658
