	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Arkansas	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Bangladesh	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Brazil	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
California	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Colorado	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Connecticut	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Florida	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Georgia	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
Germany	0.53062223	-1.37252876	1.05050650	0.84114783	0.51081265	0.62510850	-0.39506037	0.88599690	-1.57604444	-2.31447679	0.38467296	0.99810005	0.76252299	0.49067563	0.02679489	-2.80843961	1.07588788	-0.52809374	0.42818695	0.66094232	-0.62560675	1.10075124	-0.67745552	-0.27513455	0.26856017	0.97102644	0.90058704	-0.57587485	-0.48211613	-0.13164393	-1.47004177	-0.23764660	0.95726062
