	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223	0.53062223
Arkansas	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876	-1.37252876
Bangladesh	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650	1.05050650
Brazil	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783	0.84114783
California	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265	0.51081265
Colorado	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850	0.62510850
Connecticut	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037	-0.39506037
Florida	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690	0.88599690
Georgia	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444	-1.57604444
Germany	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679	-2.31447679
