	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Arkansas	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Bangladesh	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Brazil	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
California	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Colorado	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Connecticut	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Florida	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Georgia	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Germany	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Hawaii	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
India	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Iowa	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
Louisiana	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	-2.91195254	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	-0.81837990	-0.81837990	0.66703353	0.66703353	-0.81837990	0.66703353	-2.91195254	-0.81837990
