	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990
Arkansas	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Bangladesh	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Brazil	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
California	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Colorado	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Connecticut	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990
Florida	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Georgia	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Germany	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Hawaii	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254	-2.91195254
India	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990
Iowa	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Louisiana	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353	0.66703353
Maryland	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990	-0.81837990
