	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Arkansas	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Bangladesh	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Brazil	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
California	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Colorado	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Connecticut	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Florida	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Georgia	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Germany	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Hawaii	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
India	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Iowa	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Louisiana	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Maryland	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
Massachusetts	1.13127279	0.51590529	-0.70738417	-1.65609010	0.28219405	0.55759724	0.92472549	-0.59414627	-0.00903561	0.02351707	-2.13782266	-0.49076817	1.11856573	-0.04250539	0.81449163	0.96900758	-1.04917886	0.14548034	0.98340895	0.78102185	0.47269694	-1.31429541	0.45048885	0.90959027	0.61751407	-2.61955521	-1.79602797	0.25608095	0.42785771	0.30774555	1.02559440	0.67455376	-0.97250072
