	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279	1.13127279
Arkansas	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529	0.51590529
Bangladesh	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417	-0.70738417
Brazil	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010	-1.65609010
California	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405	0.28219405
Colorado	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724	0.55759724
Connecticut	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549	0.92472549
Florida	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627	-0.59414627
Georgia	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561	-0.00903561
Germany	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707	0.02351707
Hawaii	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266	-2.13782266
India	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817	-0.49076817
Iowa	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573	1.11856573
Louisiana	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539	-0.04250539
Maryland	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163	0.81449163
Massachusetts	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758	0.96900758
Mexico	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886	-1.04917886
Mississippi	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034	0.14548034
Missouri	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895	0.98340895
Montana	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185	0.78102185
New_Mexico	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694	0.47269694
Nigeria	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541	-1.31429541
North_Carolina	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885	0.45048885
Ohio	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027	0.90959027
Oklahoma	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407	0.61751407
Peru	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521	-2.61955521
Philippines	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797	-1.79602797
South_Carolina	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095	0.25608095
Tennessee	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771	0.42785771
Texas	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555	0.30774555
Utah	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440	1.02559440
