	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Alaska	0.00000000	0.25412468	0.50636685	0.62152756	0.17061653	0.19747252	0.28103076	0.31462481	0.29138440	0.39818157	0.22607275	0.53111372	0.21793473	0.27880406	0.28148771	0.28501702	0.27943770	0.27275176	0.23774465	0.14962798	0.21829746	0.64038446	0.29271163	0.25717794	0.23629443	0.53245066	0.47429638	0.29375157	0.26744282	0.25625578	0.17943520	0.27138344	0.61601577
Arkansas	0.25412468	0.00000000	0.72823826	0.37474800	0.13933626	0.06683582	0.09988375	0.06132750	0.04661560	0.41970688	0.35074209	0.72757126	0.04278509	0.02788429	0.07845270	0.10973664	0.10756007	0.01894125	0.02051558	0.10519566	0.06691814	0.55308532	0.06793437	0.05623738	0.02500150	0.28441152	0.72813935	0.05778330	0.03001346	0.03945865	0.09479220	0.06048624	0.69973711
Bangladesh	0.50636685	0.72823826	0.00000000	0.82056681	0.67622052	0.69366766	0.67797035	0.77081237	0.74029047	0.39560516	0.58062549	0.05925239	0.68551538	0.75603757	0.69775124	0.67238353	0.78544703	0.74170028	0.70774367	0.64285655	0.71879831	0.47476320	0.72002967	0.69405640	0.72169216	0.96823610	0.18144351	0.73165204	0.72260028	0.74848241	0.68239491	0.70308392	0.23986021
Brazil	0.62152756	0.37474800	0.82056681	0.00000000	0.50175134	0.43990563	0.34411607	0.31366110	0.33257058	0.47431300	0.68503355	0.76177318	0.40557312	0.35496562	0.34062883	0.34202693	0.40232346	0.35586188	0.38786005	0.47857949	0.42914983	0.34602571	0.32884171	0.36434963	0.39695729	0.17242486	1.00000000	0.32852347	0.35628760	0.38635475	0.46589280	0.35014504	0.58343760
California	0.17061653	0.13933626	0.67622052	0.50175134	0.00000000	0.07547778	0.22342074	0.19438819	0.18593447	0.49075146	0.21192935	0.70133297	0.13152987	0.15103310	0.20829203	0.23230447	0.11243080	0.15595555	0.13610956	0.08069454	0.07468925	0.67749619	0.20468454	0.17988835	0.11434862	0.37496645	0.61358356	0.19658478	0.16700620	0.11671003	0.04809846	0.19073285	0.75746504
Colorado	0.19747252	0.06683582	0.69366766	0.43990563	0.07547778	0.00000000	0.14878998	0.12653065	0.11295364	0.43919655	0.28717630	0.70501415	0.05737236	0.08513938	0.13287922	0.15794339	0.10022599	0.08507168	0.06079258	0.05086181	0.02725651	0.60514787	0.12958047	0.10463676	0.04306391	0.33505801	0.66713991	0.12235370	0.09242774	0.05878335	0.02835105	0.11525891	0.71736500
Connecticut	0.28103076	0.09988375	0.67797035	0.34411607	0.22342074	0.14878998	0.00000000	0.09985100	0.07324043	0.32704071	0.43245708	0.66163588	0.09189092	0.11311162	0.02381964	0.00985309	0.20635603	0.09571496	0.09176549	0.15894093	0.16098530	0.45706561	0.04525197	0.04523388	0.12009367	0.31059292	0.73646764	0.05963258	0.07165727	0.13914717	0.17532245	0.03981184	0.60391303
Florida	0.31462481	0.06132750	0.77081237	0.31366110	0.19438819	0.12653065	0.09985100	0.00000000	0.03052677	0.42487861	0.40188491	0.75988785	0.09791449	0.04338095	0.07687971	0.10798487	0.12865329	0.04238731	0.07696731	0.16637390	0.11969903	0.51930478	0.05461360	0.07680434	0.08346983	0.23024648	0.78891515	0.04073233	0.05085385	0.07875778	0.15342740	0.06814617	0.69680221
Georgia	0.29138440	0.04661560	0.74029047	0.33257058	0.18593447	0.11295364	0.07324043	0.03052677	0.00000000	0.40022661	0.39712470	0.73016228	0.07348295	0.04451111	0.04947957	0.08222588	0.13941548	0.03131381	0.05549827	0.14608666	0.11284276	0.51176053	0.02941512	0.04628750	0.07158615	0.25955604	0.76490773	0.01490568	0.02394241	0.07797307	0.14114110	0.03813363	0.67586427
Germany	0.39818157	0.41970688	0.39560516	0.47431300	0.49075146	0.43919655	0.32704071	0.42487861	0.40022661	0.00000000	0.62362149	0.35694544	0.39090929	0.43863403	0.35085716	0.31801278	0.52606130	0.42073391	0.40428290	0.41086871	0.46285741	0.25076295	0.37146882	0.36464023	0.43227368	0.57305520	0.54822187	0.38619412	0.39600319	0.45806851	0.45361693	0.36518031	0.28059589
