	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153	-0.14591153
Arizona	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688	0.26774688
Chile	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952	-0.09309952
China	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608	2.92783608
Colombia	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130	-0.05784130
Delaware	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753	-1.01807753
Egypt	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531	-0.08906531
France	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313	1.64904313
Idaho	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694	-0.84897694
Illinois	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203	0.81925203
Indiana	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106	0.23249106
Japan	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810	1.78748810
Kansas	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209	-0.38889209
Kazakhstan	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678
