	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878	-0.33736878
Arizona	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901	0.25941901
Chile	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120	0.98186120
China	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302	2.93393302
Colombia	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578	1.29847578
Delaware	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439	-2.67778439
Egypt	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306	1.19775306
France	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137	0.85834137
Idaho	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945	0.02183945
Illinois	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972	-0.26077972
Indiana	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184	-0.61717184
Japan	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969	0.44920969
Kansas	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345	0.00897345
Kazakhstan	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011	1.96673011
Kentucky	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399	-0.53727399
Maine	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399	-0.63927399
Michigan	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148	0.13317148
Minnesota	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410	0.05127410
Nevada	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767	0.23602767
New_Jersey	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813	-1.71507813
New_York	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075	-0.30667075
North_Dakota	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461	-0.10755461
Oregon	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918	0.14694918
Pennsylvania	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717	-0.43679717
Serbia	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727	-0.66611727
South_Dakota	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741	-0.04080741
Uruguay	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230	-0.13703230
Vermont	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840	-1.63960840
Vietnam	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505	0.34886505
Virginia	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954	-0.53049954
Washington	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626	-0.10037626
