	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Arizona	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Chile	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
China	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Colombia	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Delaware	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Egypt	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
France	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Idaho	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Illinois	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Indiana	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Japan	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Kansas	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Kazakhstan	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Kentucky	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Maine	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Michigan	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Minnesota	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Nevada	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
New_Jersey	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
New_York	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
North_Dakota	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Oregon	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Pennsylvania	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Serbia	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
South_Dakota	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Uruguay	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Vermont	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Vietnam	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Virginia	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Washington	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Wisconsin	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
Wyoming	0.50316334	-0.62681013	0.24507683	3.50977511	1.38654105	-0.45474964	1.29270705	1.29199607	-0.74649413	-0.40418888	-0.11117152	1.72164403	-0.53253613	-0.07929062	-0.12800909	-0.51178156	-0.05679127	-0.16371955	-1.17278855	-0.55430350	-0.15452041	-1.89082745	-0.21279564	0.01093587	-0.38853315	-0.91055184	0.02939958	-0.74649413	1.37987126	-0.01493472	-0.23404455	-0.10298518	-1.17278855
