	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334	0.50316334
Arizona	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013	-0.62681013
Chile	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683	0.24507683
China	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511	3.50977511
Colombia	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105	1.38654105
Delaware	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964	-0.45474964
Egypt	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705	1.29270705
France	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607	1.29199607
Idaho	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413
Illinois	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888	-0.40418888
Indiana	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152	-0.11117152
Japan	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403	1.72164403
Kansas	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613	-0.53253613
Kazakhstan	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062	-0.07929062
Kentucky	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909	-0.12800909
Maine	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156	-0.51178156
Michigan	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127	-0.05679127
Minnesota	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955	-0.16371955
Nevada	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855
New_Jersey	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350	-0.55430350
New_York	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041	-0.15452041
North_Dakota	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745	-1.89082745
Oregon	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564	-0.21279564
