	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087	0.46929087
Arizona	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045	-0.15030045
Chile	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493	0.23793493
China	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087	0.03512087
Colombia	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076	0.73429076
Delaware	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874	0.10820874
Egypt	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510	-4.70804510
France	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217	0.06454217
Idaho	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203	0.41447203
Illinois	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417	-0.00703417
