	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678	0.03210678
Arizona	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980	0.85915980
Chile	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318	1.07805318
China	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901	0.88617901
Colombia	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480	1.21863480
Delaware	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258	0.36456258
Egypt	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243	-3.07383243
France	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508	-1.02580508
Idaho	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975	-0.19267975
Illinois	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095	0.45340095
Indiana	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601	0.71089601
Japan	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919	1.03365919
Kansas	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321	0.55372321
Kazakhstan	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847	-0.32932847
Kentucky	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093
Maine	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461
Michigan	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965
Minnesota	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640
Nevada	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882
New_Jersey	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951
New_York	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817
