	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Arizona	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Chile	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
China	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Colombia	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Delaware	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Egypt	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
France	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Idaho	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Illinois	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Indiana	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Japan	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Kansas	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Kazakhstan	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Kentucky	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Maine	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Michigan	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Minnesota	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Nevada	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
New_Jersey	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
New_York	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
North_Dakota	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Oregon	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Pennsylvania	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Serbia	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
South_Dakota	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Uruguay	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Vermont	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Vietnam	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Virginia	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
Washington	0.91287093	-1.09544512	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	-1.09544512	-1.09544512	0.91287093	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	-1.09544512	0.91287093	-1.09544512	-1.09544512	-1.09544512	0.91287093	0.91287093	0.91287093	-1.09544512
