	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Arizona	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Chile	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
China	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Colombia	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Delaware	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Egypt	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
France	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Idaho	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Illinois	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Indiana	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Japan	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Kansas	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
