	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806	-0.38767806
Arizona	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536	-0.35780536
Chile	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680	-1.51923680
China	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536	0.33516536
Colombia	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144	-4.37432144
Delaware	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976	0.06668976
Egypt	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980	-0.69282980
France	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325	-0.65516325
Idaho	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627	0.35237627
Illinois	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490	0.57207490
