	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	0.00000000	0.12009953	0.39054085	0.64316837	0.16696408	0.06456994	0.55447876	0.38528881	0.14204597	0.04375741	0.04149259	0.58496627	0.06363318	0.55591355	0.02858542	0.10656198	0.07019664	0.08530418	0.14424732	0.07082630	0.07805294	0.10400120	0.16984558	0.06293859	0.45713384	0.09059962	0.41474108	0.09167667	0.75947781	0.04854818	0.17262909	0.06988094	0.11137588
Arizona	0.12009953	0.00000000	0.42596972	0.59380029	0.25525286	0.16967767	0.63229834	0.46305082	0.05991828	0.10885560	0.12143663	0.49304353	0.06655448	0.56643023	0.12493810	0.19737004	0.13027615	0.10376145	0.03731412	0.17327045	0.16961924	0.09039616	0.07193649	0.15908762	0.52449555	0.07777913	0.49224446	0.18244020	0.68776335	0.15660872	0.08656978	0.11478979	0.05366559
Chile	0.39054085	0.42596972	0.00000000	1.00000000	0.24147324	0.42906909	0.71890918	0.65054514	0.48478949	0.43346639	0.43183227	0.83287055	0.43016630	0.89689125	0.41794671	0.46812828	0.46037554	0.47195646	0.46225448	0.43537122	0.45136835	0.48272307	0.49627395	0.43875815	0.71470189	0.46551664	0.13639858	0.45988195	0.90554432	0.41899877	0.51245241	0.45988952	0.46614550
China	0.64316837	0.59380029	1.00000000	0.00000000	0.80233162	0.61196852	0.36475164	0.42049608	0.53660358	0.59949831	0.60278168	0.16719259	0.59744171	0.17713014	0.61709318	0.57599350	0.57487151	0.55914870	0.55678398	0.60611237	0.58940348	0.54561084	0.52226566	0.60079231	0.36086531	0.56231662	0.94909440	0.58243240	0.12471830	0.62027522	0.50740742	0.57328929	0.55791879
Colombia	0.16696408	0.25525286	0.24147324	0.80233162	0.00000000	0.19038149	0.58369595	0.44576986	0.29885137	0.21002758	0.20428372	0.74667344	0.22402262	0.67452421	0.18979314	0.22717625	0.23073409	0.25206789	0.29015521	0.19621999	0.21295095	0.27058360	0.32243977	0.20187320	0.52114476	0.25602705	0.24791271	0.22002053	0.92460123	0.18261829	0.33059269	0.23498662	0.27064995
Delaware	0.06456994	0.16967767	0.42906909	0.61196852	0.19038149	0.00000000	0.48990917	0.32089735	0.17108264	0.06172026	0.04879749	0.58477984	0.10356698	0.50320141	0.04564238	0.04421491	0.05580717	0.09034141	0.18376110	0.00694421	0.02257057	0.11587377	0.20047802	0.01528374	0.39333107	0.11137574	0.42805531	0.03173312	0.73492318	0.01602608	0.19662976	0.06940738	0.14162586
Egypt	0.55447876	0.63229834	0.71890918	0.36475164	0.58369595	0.48990917	0.00000000	0.17088216	0.59101649	0.53695860	0.52739500	0.52283653	0.57380108	0.20568164	0.53205100	0.44949524	0.50838143	0.52923273	0.62043452	0.48373420	0.47905365	0.54240555	0.60706609	0.49338727	0.10980517	0.55456885	0.58588815	0.46500833	0.42318864	0.50593086	0.58838162	0.52188203	0.58074254
France	0.38528881	0.46305082	0.65054514	0.42049608	0.44576986	0.32089735	0.17088216	0.00000000	0.42664723	0.36610327	0.35668746	0.53103329	0.40310007	0.24639462	0.36182953	0.27934753	0.33754323	0.35942159	0.45477230	0.31448893	0.30877991	0.37424813	0.44640414	0.32334816	0.07613832	0.38532268	0.55027645	0.29475406	0.52289933	0.33689678	0.42926948	0.35121782	0.41294808
Idaho	0.14204597	0.05991828	0.48478949	0.53660358	0.29885137	0.17108264	0.59101649	0.42664723	0.00000000	0.11180716	0.12417507	0.44793777	0.07846589	0.50803188	0.13387277	0.18533766	0.11886939	0.08396909	0.03039505	0.17230515	0.16280340	0.05989374	0.02940281	0.15714680	0.48142202	0.05975776	0.54297620	0.17275291	0.63664142	0.16238589	0.03174133	0.10311692	0.03088967
Illinois	0.04375741	0.10885560	0.43346639	0.59949831	0.21002758	0.06172026	0.53695860	0.36610327	0.11180716	0.00000000	0.01293284	0.54504795	0.04231380	0.51837974	0.02295611	0.09010962	0.03131081	0.04213547	0.12224111	0.06467186	0.06127298	0.06357361	0.14108296	0.05024682	0.43432720	0.05366972	0.45736012	0.07469462	0.71589710	0.05090393	0.13974851	0.02642314	0.08139944
Indiana	0.04149259	0.12143663	0.43183227	0.60278168	0.20428372	0.04879749	0.52739500	0.35668746	0.12417507	0.01293284	0.00000000	0.55377935	0.05499071	0.51561377	0.01449543	0.07897952	0.02870504	0.05018013	0.13515096	0.05188611	0.04965346	0.07362651	0.15351698	0.03772145	0.42590643	0.06534860	0.45065655	0.06341591	0.72089726	0.03824117	0.15156457	0.03091182	0.09397051
Japan	0.58496627	0.49304353	0.83287055	0.16719259	0.74667344	0.58477984	0.52283653	0.53103329	0.44793777	0.54504795	0.55377935	0.00000000	0.52411306	0.31981004	0.56749279	0.56585394	0.53226953	0.50363195	0.45716177	0.58148420	0.56480317	0.48171617	0.42435030	0.56995126	0.49170421	0.49436755	0.96688540	0.56459658	0.19973536	0.58537286	0.41620737	0.52336709	0.47668752
Kansas	0.06363318	0.06655448	0.43016630	0.59744171	0.22402262	0.10356698	0.57380108	0.40310007	0.07846589	0.04231380	0.05499071	0.52411306	0.00000000	0.53651275	0.06004256	0.13136362	0.06591939	0.04902439	0.08254399	0.10687631	0.10318345	0.05262774	0.10626661	0.09255951	0.46872694	0.03535183	0.47113875	0.11622088	0.70659873	0.09132109	0.10936481	0.05192486	0.04800972
Kazakhstan	0.55591355	0.56643023	0.89689125	0.17713014	0.67452421	0.50320141	0.20568164	0.24639462	0.50803188	0.51837974	0.51561377	0.31981004	0.53651275	0.00000000	0.52736232	0.45992789	0.48766304	0.48826599	0.53691176	0.49632982	0.48285531	0.48669718	0.50858808	0.49738443	0.18373799	0.50381768	0.78191656	0.47150169	0.27796386	0.51647130	0.48908488	0.49355013	0.51537674
Kentucky	0.02858542	0.12493810	0.41794671	0.61709318	0.18979314	0.04564238	0.53205100	0.36182953	0.13387277	0.02295611	0.01449543	0.56749279	0.06004256	0.52736232	0.00000000	0.08255805	0.04244523	0.06392700	0.14224105	0.05039739	0.05304982	0.08640062	0.16297556	0.03875134	0.43235425	0.07649976	0.43628607	0.06708183	0.73538773	0.03167739	0.16237590	0.04529817	0.10317506
Maine	0.10656198	0.19737004	0.46812828	0.57599350	0.22717625	0.04421491	0.44949524	0.27934753	0.18533766	0.09010962	0.07897952	0.56585394	0.13136362	0.45992789	0.08255805	0.00000000	0.06813980	0.10150222	0.20401142	0.03728585	0.02960830	0.12572729	0.21379457	0.04400753	0.35059201	0.12749896	0.45518848	0.01560061	0.70030558	0.05934704	0.20571496	0.08428827	0.15931341
