	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Alabama	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Arizona	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colombia	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Delaware	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
France	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Illinois	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Indiana	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michigan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minnesota	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Nevada	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
New_Jersey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New_York	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
North_Dakota	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Oregon	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Pennsylvania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serbia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
South_Dakota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uruguay	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Vermont	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vietnam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Virginia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Washington	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Wisconsin	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
Wyoming	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1
