	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
Greece	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
Spain	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
Sweden	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
Kenya	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
France	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
California	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
North_Carolina	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
Georgia	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
United_Kingdom	-0.92763888	0.43632394	0.36495489	-2.06141929	1.25328624	-0.48116374	0.90415861	0.47221577	0.94780042	-0.90851796
