	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-0.92763888	-0.92763888	-0.92763888	-0.92763888	-0.92763888	-0.92763888	-0.92763888	-0.92763888	-0.92763888	-0.92763888
Greece	0.43632394	0.43632394	0.43632394	0.43632394	0.43632394	0.43632394	0.43632394	0.43632394	0.43632394	0.43632394
Spain	0.36495489	0.36495489	0.36495489	0.36495489	0.36495489	0.36495489	0.36495489	0.36495489	0.36495489	0.36495489
Sweden	-2.06141929	-2.06141929	-2.06141929	-2.06141929	-2.06141929	-2.06141929	-2.06141929	-2.06141929	-2.06141929	-2.06141929
Kenya	1.25328624	1.25328624	1.25328624	1.25328624	1.25328624	1.25328624	1.25328624	1.25328624	1.25328624	1.25328624
France	-0.48116374	-0.48116374	-0.48116374	-0.48116374	-0.48116374	-0.48116374	-0.48116374	-0.48116374	-0.48116374	-0.48116374
California	0.90415861	0.90415861	0.90415861	0.90415861	0.90415861	0.90415861	0.90415861	0.90415861	0.90415861	0.90415861
North_Carolina	0.47221577	0.47221577	0.47221577	0.47221577	0.47221577	0.47221577	0.47221577	0.47221577	0.47221577	0.47221577
Georgia	0.94780042	0.94780042	0.94780042	0.94780042	0.94780042	0.94780042	0.94780042	0.94780042	0.94780042	0.94780042
United_Kingdom	-0.90851796	-0.90851796	-0.90851796	-0.90851796	-0.90851796	-0.90851796	-0.90851796	-0.90851796	-0.90851796	-0.90851796
