	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
Greece	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
Spain	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
Sweden	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
Kenya	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
France	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
California	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
North_Carolina	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
Georgia	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
United_Kingdom	0.23315494	-1.49038154	0.83331276	0.63170039	1.07322268	1.24975449	0.52755187	-1.39563915	-1.22433110	-0.43834535
