	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.23315494	0.23315494	0.23315494	0.23315494	0.23315494	0.23315494	0.23315494	0.23315494	0.23315494	0.23315494
Greece	-1.49038154	-1.49038154	-1.49038154	-1.49038154	-1.49038154	-1.49038154	-1.49038154	-1.49038154	-1.49038154	-1.49038154
Spain	0.83331276	0.83331276	0.83331276	0.83331276	0.83331276	0.83331276	0.83331276	0.83331276	0.83331276	0.83331276
Sweden	0.63170039	0.63170039	0.63170039	0.63170039	0.63170039	0.63170039	0.63170039	0.63170039	0.63170039	0.63170039
Kenya	1.07322268	1.07322268	1.07322268	1.07322268	1.07322268	1.07322268	1.07322268	1.07322268	1.07322268	1.07322268
France	1.24975449	1.24975449	1.24975449	1.24975449	1.24975449	1.24975449	1.24975449	1.24975449	1.24975449	1.24975449
California	0.52755187	0.52755187	0.52755187	0.52755187	0.52755187	0.52755187	0.52755187	0.52755187	0.52755187	0.52755187
North_Carolina	-1.39563915	-1.39563915	-1.39563915	-1.39563915	-1.39563915	-1.39563915	-1.39563915	-1.39563915	-1.39563915	-1.39563915
Georgia	-1.22433110	-1.22433110	-1.22433110	-1.22433110	-1.22433110	-1.22433110	-1.22433110	-1.22433110	-1.22433110	-1.22433110
United_Kingdom	-0.43834535	-0.43834535	-0.43834535	-0.43834535	-0.43834535	-0.43834535	-0.43834535	-0.43834535	-0.43834535	-0.43834535
