	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
Greece	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
Spain	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
Sweden	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
Kenya	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
France	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
California	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
North_Carolina	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
Georgia	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
United_Kingdom	0.73221805	-1.22554482	1.19778054	-1.78777615	0.70924492	1.05248768	-0.94608525	-0.42927664	-0.09766855	0.79462022
