	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.73221805	0.73221805	0.73221805	0.73221805	0.73221805	0.73221805	0.73221805	0.73221805	0.73221805	0.73221805
Greece	-1.22554482	-1.22554482	-1.22554482	-1.22554482	-1.22554482	-1.22554482	-1.22554482	-1.22554482	-1.22554482	-1.22554482
Spain	1.19778054	1.19778054	1.19778054	1.19778054	1.19778054	1.19778054	1.19778054	1.19778054	1.19778054	1.19778054
Sweden	-1.78777615	-1.78777615	-1.78777615	-1.78777615	-1.78777615	-1.78777615	-1.78777615	-1.78777615	-1.78777615	-1.78777615
Kenya	0.70924492	0.70924492	0.70924492	0.70924492	0.70924492	0.70924492	0.70924492	0.70924492	0.70924492	0.70924492
France	1.05248768	1.05248768	1.05248768	1.05248768	1.05248768	1.05248768	1.05248768	1.05248768	1.05248768	1.05248768
California	-0.94608525	-0.94608525	-0.94608525	-0.94608525	-0.94608525	-0.94608525	-0.94608525	-0.94608525	-0.94608525	-0.94608525
North_Carolina	-0.42927664	-0.42927664	-0.42927664	-0.42927664	-0.42927664	-0.42927664	-0.42927664	-0.42927664	-0.42927664	-0.42927664
Georgia	-0.09766855	-0.09766855	-0.09766855	-0.09766855	-0.09766855	-0.09766855	-0.09766855	-0.09766855	-0.09766855	-0.09766855
United_Kingdom	0.79462022	0.79462022	0.79462022	0.79462022	0.79462022	0.79462022	0.79462022	0.79462022	0.79462022	0.79462022
