	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.00000000	0.11845677	0.11224385	0.07208635	0.40316212	0.05143189	0.59760164	0.45234787	0.48736702	0.06480689
Greece	0.11845677	0.00000000	0.15771686	0.16193621	0.28576482	0.13024053	0.71582325	0.56015088	0.59582888	0.18036953
Spain	0.11224385	0.15771686	0.00000000	0.18118120	0.39449140	0.06113002	0.61244386	0.41623980	0.45195010	0.11034705
Sweden	0.07208635	0.16193621	0.18118120	0.00000000	0.44349892	0.12035003	0.56427553	0.45722622	0.49017446	0.09377962
Kenya	0.40316212	0.28576482	0.39449140	0.44349892	0.00000000	0.40077946	1.00000000	0.80252048	0.83687090	0.46105920
France	0.05143189	0.13024053	0.06113002	0.12035003	0.40077946	0.00000000	0.59976552	0.42991112	0.46559696	0.06509090
California	0.59760164	0.71582325	0.61244386	0.56427553	1.00000000	0.59976552	0.00000000	0.24925003	0.22641755	0.53894080
North_Carolina	0.45234787	0.56015088	0.41623980	0.45722622	0.80252048	0.42991112	0.24925003	0.00000000	0.03581961	0.38778430
Georgia	0.48736702	0.59582888	0.45195010	0.49017446	0.83687090	0.46559696	0.22641755	0.03581961	0.00000000	0.42269739
United_Kingdom	0.06480689	0.18036953	0.11034705	0.09377962	0.46105920	0.06509090	0.53894080	0.38778430	0.42269739	0.00000000
