	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
Greece	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
Spain	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
Sweden	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
Kenya	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
France	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
California	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
North_Carolina	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
Georgia	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
United_Kingdom	-0.19346238	0.56733904	0.15983346	-0.03687021	-1.25305513	0.11327616	0.77182009	1.05356721	1.08597770	-2.26842595
