	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-0.19346238	-0.19346238	-0.19346238	-0.19346238	-0.19346238	-0.19346238	-0.19346238	-0.19346238	-0.19346238	-0.19346238
Greece	0.56733904	0.56733904	0.56733904	0.56733904	0.56733904	0.56733904	0.56733904	0.56733904	0.56733904	0.56733904
Spain	0.15983346	0.15983346	0.15983346	0.15983346	0.15983346	0.15983346	0.15983346	0.15983346	0.15983346	0.15983346
Sweden	-0.03687021	-0.03687021	-0.03687021	-0.03687021	-0.03687021	-0.03687021	-0.03687021	-0.03687021	-0.03687021	-0.03687021
Kenya	-1.25305513	-1.25305513	-1.25305513	-1.25305513	-1.25305513	-1.25305513	-1.25305513	-1.25305513	-1.25305513	-1.25305513
France	0.11327616	0.11327616	0.11327616	0.11327616	0.11327616	0.11327616	0.11327616	0.11327616	0.11327616	0.11327616
California	0.77182009	0.77182009	0.77182009	0.77182009	0.77182009	0.77182009	0.77182009	0.77182009	0.77182009	0.77182009
North_Carolina	1.05356721	1.05356721	1.05356721	1.05356721	1.05356721	1.05356721	1.05356721	1.05356721	1.05356721	1.05356721
Georgia	1.08597770	1.08597770	1.08597770	1.08597770	1.08597770	1.08597770	1.08597770	1.08597770	1.08597770	1.08597770
United_Kingdom	-2.26842595	-2.26842595	-2.26842595	-2.26842595	-2.26842595	-2.26842595	-2.26842595	-2.26842595	-2.26842595	-2.26842595
