	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
Greece	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
Spain	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
Sweden	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
Kenya	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
France	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
California	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
North_Carolina	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
Georgia	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
United_Kingdom	1.21196681	-1.23090725	0.53681525	-1.21643329	0.72991931	0.96903680	0.32405933	-1.16660725	-1.15080720	0.99295749
