	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	1.21196681	1.21196681	1.21196681	1.21196681	1.21196681	1.21196681	1.21196681	1.21196681	1.21196681	1.21196681
Greece	-1.23090725	-1.23090725	-1.23090725	-1.23090725	-1.23090725	-1.23090725	-1.23090725	-1.23090725	-1.23090725	-1.23090725
Spain	0.53681525	0.53681525	0.53681525	0.53681525	0.53681525	0.53681525	0.53681525	0.53681525	0.53681525	0.53681525
Sweden	-1.21643329	-1.21643329	-1.21643329	-1.21643329	-1.21643329	-1.21643329	-1.21643329	-1.21643329	-1.21643329	-1.21643329
Kenya	0.72991931	0.72991931	0.72991931	0.72991931	0.72991931	0.72991931	0.72991931	0.72991931	0.72991931	0.72991931
France	0.96903680	0.96903680	0.96903680	0.96903680	0.96903680	0.96903680	0.96903680	0.96903680	0.96903680	0.96903680
California	0.32405933	0.32405933	0.32405933	0.32405933	0.32405933	0.32405933	0.32405933	0.32405933	0.32405933	0.32405933
North_Carolina	-1.16660725	-1.16660725	-1.16660725	-1.16660725	-1.16660725	-1.16660725	-1.16660725	-1.16660725	-1.16660725	-1.16660725
Georgia	-1.15080720	-1.15080720	-1.15080720	-1.15080720	-1.15080720	-1.15080720	-1.15080720	-1.15080720	-1.15080720	-1.15080720
United_Kingdom	0.99295749	0.99295749	0.99295749	0.99295749	0.99295749	0.99295749	0.99295749	0.99295749	0.99295749	0.99295749
