	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
Greece	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
Spain	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
Sweden	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
Kenya	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
France	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
California	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
North_Carolina	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
Georgia	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
United_Kingdom	-1.06249792	-0.45610609	0.00406583	0.62122471	2.38735808	-0.31605342	-1.09238744	0.52937377	-0.94589097	0.33091345
