	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-1.06249792	-1.06249792	-1.06249792	-1.06249792	-1.06249792	-1.06249792	-1.06249792	-1.06249792	-1.06249792	-1.06249792
Greece	-0.45610609	-0.45610609	-0.45610609	-0.45610609	-0.45610609	-0.45610609	-0.45610609	-0.45610609	-0.45610609	-0.45610609
Spain	0.00406583	0.00406583	0.00406583	0.00406583	0.00406583	0.00406583	0.00406583	0.00406583	0.00406583	0.00406583
Sweden	0.62122471	0.62122471	0.62122471	0.62122471	0.62122471	0.62122471	0.62122471	0.62122471	0.62122471	0.62122471
Kenya	2.38735808	2.38735808	2.38735808	2.38735808	2.38735808	2.38735808	2.38735808	2.38735808	2.38735808	2.38735808
France	-0.31605342	-0.31605342	-0.31605342	-0.31605342	-0.31605342	-0.31605342	-0.31605342	-0.31605342	-0.31605342	-0.31605342
California	-1.09238744	-1.09238744	-1.09238744	-1.09238744	-1.09238744	-1.09238744	-1.09238744	-1.09238744	-1.09238744	-1.09238744
North_Carolina	0.52937377	0.52937377	0.52937377	0.52937377	0.52937377	0.52937377	0.52937377	0.52937377	0.52937377	0.52937377
Georgia	-0.94589097	-0.94589097	-0.94589097	-0.94589097	-0.94589097	-0.94589097	-0.94589097	-0.94589097	-0.94589097	-0.94589097
United_Kingdom	0.33091345	0.33091345	0.33091345	0.33091345	0.33091345	0.33091345	0.33091345	0.33091345	0.33091345	0.33091345
