	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
Greece	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
Spain	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
Sweden	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
Kenya	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
France	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
California	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
North_Carolina	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
Georgia	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
United_Kingdom	-1.79761842	0.52648257	0.61594281	0.57210754	1.51269042	-1.22669093	1.06911346	-0.07593027	-0.85063061	-0.34546657
