	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	-1.79761842	-1.79761842	-1.79761842	-1.79761842	-1.79761842	-1.79761842	-1.79761842	-1.79761842	-1.79761842	-1.79761842
Greece	0.52648257	0.52648257	0.52648257	0.52648257	0.52648257	0.52648257	0.52648257	0.52648257	0.52648257	0.52648257
Spain	0.61594281	0.61594281	0.61594281	0.61594281	0.61594281	0.61594281	0.61594281	0.61594281	0.61594281	0.61594281
Sweden	0.57210754	0.57210754	0.57210754	0.57210754	0.57210754	0.57210754	0.57210754	0.57210754	0.57210754	0.57210754
Kenya	1.51269042	1.51269042	1.51269042	1.51269042	1.51269042	1.51269042	1.51269042	1.51269042	1.51269042	1.51269042
France	-1.22669093	-1.22669093	-1.22669093	-1.22669093	-1.22669093	-1.22669093	-1.22669093	-1.22669093	-1.22669093	-1.22669093
California	1.06911346	1.06911346	1.06911346	1.06911346	1.06911346	1.06911346	1.06911346	1.06911346	1.06911346	1.06911346
North_Carolina	-0.07593027	-0.07593027	-0.07593027	-0.07593027	-0.07593027	-0.07593027	-0.07593027	-0.07593027	-0.07593027	-0.07593027
Georgia	-0.85063061	-0.85063061	-0.85063061	-0.85063061	-0.85063061	-0.85063061	-0.85063061	-0.85063061	-0.85063061	-0.85063061
United_Kingdom	-0.34546657	-0.34546657	-0.34546657	-0.34546657	-0.34546657	-0.34546657	-0.34546657	-0.34546657	-0.34546657	-0.34546657
