	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
Greece	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
Spain	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
Sweden	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
Kenya	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
France	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
California	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
North_Carolina	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
Georgia	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
United_Kingdom	0.66677468	1.97772710	-0.62561087	-0.10012948	-1.15109226	-1.15109226	0.42535191	-1.15109226	0.06903774	1.04012573
